Date,Type,Count,Note
2025-08-25,22 oz,5,open shift
2025-08-25,16 oz,5,open shift
2025-08-25,12 oz,5,open shift
2025-08-25,8 oz,5,open shift
2025-08-25,TOTAL,20,open shift
2025-08-25,Close,22 oz,50,reach
2025-08-25,Close,16 oz,50,reach
2025-08-25,Close,12 oz,50,reach
2025-08-25,Close,8 oz,50,reach
2025-08-25,Close,TOTAL,200,reach
2025-08-25,Close,22 oz,50,reach
2025-08-25,Close,16 oz,50,reach
2025-08-25,Close,12 oz,50,reach
2025-08-25,Close,8 oz,50,reach
2025-08-25,Close,TOTAL,200,reach
2025-08-25,Open,22 oz,0,
2025-08-25,Open,16 oz,0,
2025-08-25,Open,12 oz,0,
2025-08-25,Open,8 oz,0,
2025-08-25,Open,TOTAL,0,
2025-08-25,Open,22 oz,0,
2025-08-25,Open,16 oz,0,
2025-08-25,Open,12 oz,0,
2025-08-25,Open,8 oz,0,
2025-08-25,Open,TOTAL,0,
2025-10-07,1,កែវ Boss 1,68,18,50,37,31,6,34,27,7,11,6,5,1150,200,950,0,0,0,68
2025-10-07,2,,18,3,15,31,18,13,27,25,2,6,4,2,700,350,350,0,0,0,32
2025-10-08,1,កែវreach1,103,40,63,18,17,1,25,16,9,4,3,1,1350,150,1200,0,0,0,74
2025-10-08,1,"កែវreach1
ភ្ញៀវដាក់កែវ 3",103,40,63,18,17,1,25,16,9,4,3,1,1350,150,1200,0,0,0,74
2025-10-08,2,បាត់ពីរកែវ,40,23,17,17,14,3,16,15,1,3,3,0,850,500,350,0,0,0,21
2025-10-09,1,បាត់ពីរកែវ,73,16,57,14,6,8,15,5,10,53,48,5,1500,450,1050,0,0,0,80
2025-10-09,1,,73,16,57,14,6,8,15,5,10,53,48,5,1500,450,1050,0,0,0,80
2025-10-09,2,កែវBoss ១,66,49,17,6,3,3,5,4,1,48,47,1,450,150,300,0,0,0,22
2025-10-11,2,កែវBoss ១,92,44,48,32,32,0,29,26,3,39,39,0,850,380,470,0,0,0,51
2025-10-12,1,,194,11,183,32,29,3,26,13,13,39,33,6,2880,300,2580,16500,0,16500,205
2025-10-13,2,កែវខែ ១,61,27,34,29,29,0,13,11,2,33,31,2,300,270,30,0,0,0,38
2025-10-13,1,"Boss 1
B Ravy 1",77,5,72,29,29,0,61,51,10,31,31,0,1270,0,1270,0,0,0,82
2025-10-13,2,,55,46,9,29,26,3,51,48,3,31,31,0,500,300,200,0,0,0,15
2025-10-14,1,,96,37,59,26,24,2,48,41,7,31,28,3,1300,150,1150,0,0,0,71
2025-10-14,1,,37,31,6,24,24,0,31,30,1,28,27,1,150,20,130,0,0,0,8
2025-10-15,1,"Reach 1
Nut 1
Je 1
ភ្ញៀវ 2",131,3,128,24,17,7,30,9,21,27,21,6,2520,300,2220,0,0,0,162
2025-10-15,2,,54,34,20,17,17,0,9,6,3,21,20,1,300,0,300,0,0,0,24
2025-10-16,1,,84,30,54,17,16,1,56,47,9,20,17,3,1500,450,1050,0,0,0,67
2025-10-16,2,,30,13,17,16,16,0,47,42,5,17,16,1,450,100,350,0,0,0,23
2025-10-17,1,ភ្ញៀវដាក់កែវ3,113,36,77,16,16,0,42,26,16,16,13,3,1600,100,1500,0,0,0,96
2025-10-17,2,ភ្ញៀវដាក់កែវ3,36,23,13,16,16,0,26,25,1,13,12,1,600,350,250,0,0,0,15
2025-10-18,2,,223,35,188,16,13,3,25,7,18,12,11,1,3350,350,3000,0,0,0,210
2025-10-18,2,,85,37,48,13,11,2,57,52,5,11,9,2,350,150,200,0,0,0,57
2025-10-19,2,,69,39,30,58,58,0,36,34,2,7,7,0,600,100,500,0,0,0,32
2025-10-20,1,ភ្ញៀវដាក់កែវ 2,89,39,50,57,57,0,34,26,8,57,50,7,0,0,0,0,0,0,65
2025-10-20,2,ភ្ញៀវដាក់កែវ 2,39,27,12,57,57,0,26,24,2,50,49,1,0,0,0,0,0,0,15
2025-10-21,1,កែវរាជមួយ,77,34,43,57,57,0,24,15,9,49,46,3,850,100,750,0,0,0,55
2025-10-21,2,កែវរាជមួយ,34,16,18,57,55,2,15,10,5,46,46,0,0,0,0,0,0,0,25
2025-10-22,1,កែវចែ1បងនុត1,116,38,78,55,53,2,10,2,8,46,45,1,1740,0,1740,0,0,0,89
2025-10-22,1,,38,22,16,53,50,3,52,50,2,45,45,0,500,250,250,0,0,0,21
2025-10-23,1,"កែវបងឃុន១
ចែ១
បងនុត១",122,51,71,50,50,0,50,38,12,45,41,4,175,430,-255,0,0,0,87
2025-10-23,1,"កែវបងឃុន១
ចែ១
បងនុត១",122,51,71,50,50,0,50,38,12,45,41,4,1750,430,1320,0,0,0,87
2025-10-23,1,,51,35,16,50,50,0,38,36,2,41,40,1,430,160,270,0,0,0,19
2025-10-23,1,,51,35,16,50,50,0,38,36,2,41,40,1,430,160,270,0,0,0,19
2025-10-24,1,កែវចែ2និងបងនុត1,82,31,51,50,46,4,36,25,11,40,35,5,1160,0,1160,0,0,0,71
